,archetype_category,IECC_climate_code,TYPEHUQ,cluster_count,best_prediction_accuracy,bic
8,construction,2A,2,10,0.6992001170560407,-12936.889160532039
9,construction,2A,2,11,0.663693118080281,-39737.09606701683
10,construction,2A,2,12,0.7228844559332781,-9253.654536001617
11,construction,2A,2,13,0.6203238550456031,-9551.384879986406
12,construction,2A,2,14,0.5286104472516218,-7931.3808489711955
13,construction,2A,2,15,0.43887236014241815,-3450.2674429559847
14,construction,2A,2,16,0.3777057016046432,-1155.646224440774
15,construction,2A,2,17,0.4428132468419256,1730.2406190744368
16,construction,2A,2,18,0.528586060576501,-3237.8412874103524
17,construction,2A,2,19,0.4181534409598595,2191.9049311048584
18,construction,2A,2,20,0.36092279178656783,6328.815212120069
0,systems,2A,2,2,0.9970394576403454,-65384.531977607214
1,systems,2A,2,3,0.9487245768911865,-80430.39963731874
2,systems,2A,2,4,0.9250499926839975,-87454.79854703028
3,systems,2A,2,5,0.855055357752524,-82827.29120674181
4,systems,2A,2,6,0.6212798127103352,-88679.34636645333
5,systems,2A,2,7,0.6430132175779155,-86553.19840116487
6,systems,2A,2,8,0.6587962737160415,-86653.48793587639
7,systems,2A,2,9,0.739652733746281,-81529.16809558793
8,systems,2A,2,10,0.7416085450909623,-76435.17638029945
9,systems,2A,2,11,0.6558259766863386,-73070.684665011
10,systems,2A,2,12,0.5611569038677267,-71102.73982472252
11,systems,2A,2,13,0.4487440862312832,-69204.18560943405
12,systems,2A,2,14,0.4024045261669024,-66354.25639414557
13,systems,2A,2,15,0.37577427693508264,-65752.85842885711
14,systems,2A,2,16,0.42409403501926546,-67850.96046356864
15,systems,2A,2,17,0.47929083548748963,-66622.98437328017
16,systems,2A,2,18,0.4575769399600058,-61719.75828299171
17,systems,2A,2,19,0.45463102960542356,-55559.375942703235
18,systems,2A,2,20,0.45463102960542356,-49657.86860241476
0,energy_loads,2A,2,2,0.78108081744135,9165.793844925196
1,energy_loads,2A,2,3,0.7534360825245086,2816.02854960487
2,energy_loads,2A,2,4,0.7248500219480075,3025.5044652220436
3,energy_loads,2A,2,5,0.682451348583134,2441.4891699017176
4,energy_loads,2A,2,6,0.6499097693020535,2277.522702706391
5,energy_loads,2A,2,7,0.5877627664244256,1903.3946144173149
6,energy_loads,2A,2,8,0.6183485343608253,1880.9034890188634
7,energy_loads,2A,2,9,0.6133980393113203,1919.8402200657247
8,energy_loads,2A,2,10,0.620318977710579,1862.7704203508672
9,energy_loads,2A,2,11,0.5680437009218162,1836.8822612610097
10,energy_loads,2A,2,12,0.5621616348827001,1893.0675579816989
11,energy_loads,2A,2,13,0.5433887723747743,2112.041596767818
12,energy_loads,2A,2,14,0.4911476369311808,1635.7396956125308
13,energy_loads,2A,2,15,0.5206994098424621,1725.7664229972825
14,energy_loads,2A,2,16,0.3589864897819831,1666.3002304601596
15,energy_loads,2A,2,17,0.35501146173730674,1336.7113877765519
16,energy_loads,2A,2,18,0.4418231478320246,1806.3649767335692
17,energy_loads,2A,2,19,0.41124713456567336,1702.071055924962
18,energy_loads,2A,2,20,0.40332634248646543,1782.8155262296355
0,construction,2A,3,2,0.7953216374269005,2873.63038812375
1,construction,2A,3,3,0.7198830409356726,2350.064054783764
