,archetype_category,IECC_climate_code,TYPEHUQ,cluster_count,best_prediction_accuracy,bic
9,energy_loads,8AK,6.0,11.0,0.3327272727272727,597.3419410613457
10,energy_loads,8AK,6.0,12.0,0.3327272727272727,647.593668783336
11,energy_loads,8AK,6.0,13.0,0.33272727272727276,554.4839463100138
12,energy_loads,8AK,6.0,14.0,0.33636363636363636,586.9166127527074
13,energy_loads,8AK,6.0,15.0,0.27999999999999997,634.9996087852446
14,energy_loads,8AK,6.0,16.0,0.2781818181818182,622.4484495443444
15,energy_loads,8AK,6.0,17.0,0.2781818181818182,679.2641115925067
16,energy_loads,8AK,6.0,18.0,0.26,745.3441779375439
17,energy_loads,8AK,6.0,19.0,0.18545454545454546,773.8204845169562
18,energy_loads,8AK,6.0,20.0,0.1890909090909091,814.3592910963685
