,archetype_category,IECC_climate_code,TYPEHUQ,cluster_count,best_prediction_accuracy,bic
5,energy_loads,2B,1,7,0.5380952380952381,365.04152445036163
6,energy_loads,2B,1,8,0.3857142857142857,378.58365138278873
7,energy_loads,2B,1,9,0.35238095238095235,393.41604625955176
8,energy_loads,2B,1,10,0.35238095238095235,434.5520605210803
9,energy_loads,2B,1,11,0.3142857142857143,362.85662336659334
10,energy_loads,2B,1,12,0.3142857142857142,378.1249313292939
11,energy_loads,2B,1,13,0.3142857142857142,407.16588333496315
12,energy_loads,2B,1,14,0.3142857142857142,446.2009759656323
13,energy_loads,2B,1,15,0.21428571428571427,425.48124681895797
0,construction,2B,2,2,0.753146483342147,-3391.4030060487703
1,construction,2B,2,3,0.7110523532522475,-5476.456744337918
2,construction,2B,2,4,0.763088313061872,-2070.238021689567
3,construction,2B,2,5,0.6395029085140138,-2115.5329709162143
4,construction,2B,2,6,0.5455314648334215,-294.25370139286315
5,construction,2B,2,7,0.48080380750925433,2290.111505630488
6,construction,2B,2,8,0.6266525647805394,2772.457181403839
7,construction,2B,2,9,0.5684822845055526,5243.43176342719
8,construction,2B,2,10,0.4967741935483871,8989.841892325545
9,construction,2B,2,11,0.376679005817028,12908.837958723896
10,construction,2B,2,12,0.43818085668958223,14687.171915747247
11,construction,2B,2,13,0.4577472236911687,16468.5547008956
12,construction,2B,2,14,0.3375991538868323,20428.00779854395
13,construction,2B,2,15,0.38334214701216285,22077.4276930673
14,construction,2B,2,16,0.376890534108937,25539.99211884065
15,construction,2B,2,17,0.42533051295610785,25958.458888364003
16,construction,2B,2,18,0.25970386039132737,29361.335814137354
17,construction,2B,2,19,0.5098889476467477,26376.130708660712
18,construction,2B,2,20,0.5032786885245901,29333.472478184063
0,systems,2B,2,2,0.9967741935483871,-16599.57444537748
1,systems,2B,2,3,0.9870967741935484,-13988.460485362231
2,systems,2B,2,4,0.8214701216287679,-12649.735197221984
3,systems,2B,2,5,0.8343733474352195,-8515.314596581738
4,systems,2B,2,6,0.7532522474881016,-5995.120558441489
5,systems,2B,2,7,0.7046536224219989,-5830.91480155124
6,systems,2B,2,8,0.617028027498678,-5610.427794660995
7,systems,2B,2,9,0.6783712321523003,-3329.847037770749
8,systems,2B,2,10,0.4902168164992068,-169.29362463050347
9,systems,2B,2,11,0.4902168164992068,4740.509788509749
10,systems,2B,2,12,0.4190375462718138,5849.278045399995
11,systems,2B,2,13,0.4088841882601798,8363.09317729024
12,systems,2B,2,14,0.3732945531464833,12174.572371680493
13,systems,2B,2,15,0.3472236911686938,14920.274222320731
14,systems,2B,2,16,0.3439978847170809,19105.163572960984
15,systems,2B,2,17,0.3149127445795875,21419.283392351223
16,systems,2B,2,18,0.2986250661025912,26393.707899241475
17,systems,2B,2,19,0.2627710206240085,30332.16365613173
18,systems,2B,2,20,0.2660497091485986,34670.05691302197
0,energy_loads,2B,2,2,0.8734003172924378,3061.9875578987917
1,energy_loads,2B,2,3,0.6524061343204653,2293.851757833424
2,energy_loads,2B,2,4,0.7077207826546801,1424.983657963369
3,energy_loads,2B,2,5,0.6785827604442094,1417.8648256714391
4,energy_loads,2B,2,6,0.6949762030671602,1425.841086152947
5,energy_loads,2B,2,7,0.6265996827075622,2081.2818241735167
6,energy_loads,2B,2,8,0.6102591221575886,1463.7181371452589
7,energy_loads,2B,2,9,0.5812797461660496,3040.106659589657
8,energy_loads,2B,2,10,0.48693812797461666,3097.6748390164767
9,energy_loads,2B,2,11,0.44145954521417236,3112.8002694198594
10,energy_loads,2B,2,12,0.44145954521417236,3172.6948648623047
11,energy_loads,2B,2,13,0.34124801692226336,3228.669904640687
12,energy_loads,2B,2,14,0.3569539925965098,3233.251023520632
13,energy_loads,2B,2,15,0.5552617662612375,1790.0962644098545
14,energy_loads,2B,2,16,0.5324167107350608,1902.6332777600144
15,energy_loads,2B,2,17,0.5228979375991539,1920.5166961394712
16,energy_loads,2B,2,18,0.5163405605499735,1893.5391220872875
17,energy_loads,2B,2,19,0.5163405605499735,1993.669740478951
18,energy_loads,2B,2,20,0.5131147540983607,2022.9531298667089
0,construction,2B,3,2,0.8,1060.6498862935218
1,construction,2B,3,3,0.8,1424.1063785423394
2,construction,2B,3,4,0.7,2516.5291793849074
3,construction,2B,3,5,0.475,2864.2298122587254
4,construction,2B,3,6,0.45,4118.169214663794
5,construction,2B,3,7,0.35,4968.477757693861
